Numero documento;Tp doc;Nº direc;Nombre deudor;Fecha factura;Fecha vto;AF ;Nº per;Est pago;Importe bruto;Importe pendiente;Cd mon;Condic pago;Fecha de Pago;Tipo cambio USD;Tipo cambio EUR;Impte pend Mext USD;Impte pend Mext EUR;
23000044;PV;8341;LAN PERU S.A. SUCURSAL COLOMBIA;16/01/2023;17/03/2023;23;1;H;152307267;152307267;COP; ;;;;;;
23000012;PV;10229;ENEL COLOMBIA S.A  E.S.P;17/01/2023;20/01/2023;23;1;P;6515830;;COP;002;;;;;;
23000014;PV;10229;ENEL COLOMBIA S.A  E.S.P;17/01/2023;20/01/2023;23;1;P;43191500;;COP;002;;;;;;
23000015;PV;9582;ETB SA ESP;17/01/2023;27/01/2023;23;1;P;4838370;;COP;002;;;;;;
23000016;PV;8011;COMUNICACION CELULAR SA COMCEL SA;17/01/2023;20/01/2023;23;1;P;64580;;COP; ;;;;;;
23000039;PV;8203;SPIRIT AIRLINES INC;17/01/2023;17/03/2023;23;1;H;75011255;75011255;COP; ;;;;;;
23000045;PV;8483;LATAM AIRLINES GROUP S.A. SUCURSAL COLOM;17/01/2023;17/03/2023;23;1;H;161708705;161708705;COP; ;;;;;;
23000047;PV;8374;TAM LINHAS AEREAS S.A. SUCURSAL COLOMBIA;17/01/2023;17/03/2023;23;1;H;31042124;31042124;COP; ;;;;;;
23000017;PV;10229;ENEL COLOMBIA S.A  E.S.P;18/01/2023;20/01/2023;23;1;P;3178860;;COP;002;;;;;;
23000018;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;18/01/2023;20/01/2023;23;1;P;1927028;;COP; ;;;;;;
23000019;PV;8044;BANCOLOMBIA S.A.;19/01/2023;20/01/2023;23;1;P;1818683000;;COP; ;;;;;;
23000020;PV;10054;FIDUCIARIA BANCOLOMBIA S A;19/01/2023;17/02/2023;23;1;P;6902000;;COP;002;;;;;;
23000052;PV;8018;IBERIA LINEAS AEREAS DE ESPAÑA SA;20/01/2023;24/03/2023;23;1;H;845649905;845649905;COP; ;;;;;;
23000021;PV;20040;CELSIA COLOMBIA SA ESP;23/01/2023;24/01/2023;23;1;P;1364317620;;COP; ;;;;;;
23000056;PV;16571;P.A. FIDUCOLDEX FONTUR RECAUDOS;26/01/2023;27/01/2023;23;1;P;707627000;;COP; ;;;;;;
23000057;PV;10229;ENEL COLOMBIA S.A  E.S.P;26/01/2023;27/01/2023;23;1;P;277380;;COP;002;;;;;;
23000058;PV;9657;UNIDAD ADMINISTRATIVA ESPECIAL AERONAUTI;26/01/2023;27/01/2023;23;1;P;3,80979E+11;;COP;003;;;;;;
23000059;PV;1;OPAIN S.A.;26/01/2023;27/01/2023;23;1;P;-1369010006;;COP; ;;;;;;
23000060;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;27/01/2023;27/01/2023;23;1;H;2551010;2551010;COP; ;;;;;;
23000061;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;27/01/2023;27/01/2023;23;1;H;141186728;141186728;COP; ;;;;;;
23000384;PV;8044;BANCOLOMBIA S.A.;31/01/2023;31/01/2023;23;1;P;598201;;COP; ;;;;;;
23000071;PV;33551;SOLUCIONES CARAL S.A.S.;01/02/2023;17/02/2023;23;2;P;-121530391;;COP; ;;;;;;
23000071;PV;33551;SOLUCIONES CARAL S.A.S.;01/02/2023;17/02/2023;23;2;P;121530391;;COP; ;;;;;;
23000094;PV;8030;AEROLINEAS ARGENTINAS  S.A.;03/02/2023;07/04/2023;23;2;P;14989242;;COP; ;;;;;;
23000103;PV;14599;AIR EUROPA;03/02/2023;07/04/2023;23;2;H;45136019;45136019;COP; ;;;;;;
23000062;PV;10188;ENERTOTAL S.A. E.S.P.;06/02/2023;07/02/2023;23;2;H;167048934;167048934;COP;002;;;;;;
23000063;PV;10188;ENERTOTAL S.A. E.S.P.;06/02/2023;07/02/2023;23;2;H;893990;893990;COP;002;;;;;;
23000099;PV;8450;KLM CIA REAL HOLANDESA DE AVIACION;06/02/2023;07/04/2023;23;2;H;44033287;44033287;COP; ;;;;;;
23000064;PV;9884;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;07/02/2023;10/02/2023;23;2;H;4016933;4016933;COP;002;;;;;;
23000089;PV;28149;JETSMART AIRLINES SPA SUCURSAL COLOMBIA;07/02/2023;07/04/2023;23;2;H;20557957;20557957;COP; ;;;;;;
23000093;PV;8018;IBERIA LINEAS AEREAS DE ESPAÑA SA;07/02/2023;07/04/2023;23;2;H;95926957;95926957;COP; ;;;;;;
23000097;PV;8086;DELTA AIR LINES INC.;07/02/2023;07/04/2023;23;2;P;60810675;;COP; ;;;;;;
23000104;PV;36297;PLUS ULTRA LÍNEAS AÉREAS S.A. SUCURSAL C;07/02/2023;07/04/2023;23;2;H;12376347;12376347;COP; ;;;;;;
23000111;PV;31960;SKY AIRLINE S.A. SUCURSAL COLOMBIA;07/02/2023;21/04/2023;23;2;H;16360329;16360329;COP; ;;;;;;
23000115;PV;8185;UNITED AIR LINES INC SUCURSAL COLOMBIA;07/02/2023;07/04/2023;23;2;H;92404747;92404747;COP; ;;;;;;
23000090;PV;8087;DEUTSCHE LUFTHANSA AKTIENGELLSCH;08/02/2023;07/04/2023;23;2;H;13388316;13388316;COP; ;;;;;;
23000066;PV;8011;COMUNICACION CELULAR SA COMCEL SA;09/02/2023;17/02/2023;23;2;H;1840930;1840930;COP; ;;;;;;
23000067;PV;14913;INTERASEO SOLUCIONES AMBIENTALES S.A.S.;09/02/2023;17/02/2023;23;2;H;112994680;112994680;COP; ;;;;;;
23000068;PV;14913;INTERASEO SOLUCIONES AMBIENTALES S.A.S.;09/02/2023;17/02/2023;23;2;H;507193580;507193580;COP; ;;;;;;
23000108;PV;8240;JETBLUE AIRWAYS CORPORATION;09/02/2023;07/04/2023;23;2;H;26094168;26094168;COP; ;;;;;;
23000069;PV;10033;EAB ESP ASEO;10/02/2023;13/02/2023;23;2;H;30062290;30062290;COP; ;;;;;;
23000070;PV;10033;EAB ESP ASEO;10/02/2023;13/02/2023;23;2;H;148618240;148618240;COP; ;;;;;;
23000072;PV;10229;ENEL COLOMBIA S.A  E.S.P;10/02/2023;13/02/2023;23;2;H;3266190;3266190;COP;002;;;;;;
23000073;PV;10229;ENEL COLOMBIA S.A  E.S.P;10/02/2023;13/02/2023;23;2;P;-6037970;;COP;002;;;;;;
23000074;PV;10229;ENEL COLOMBIA S.A  E.S.P;10/02/2023;13/02/2023;23;2;P;-43676490;;COP;002;;;;;;
23000075;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;10/02/2023;14/02/2023;23;2;H;1722000;1722000;COP; ;;;;;;
23000095;PV;8463;FAST COLOMBIA S.A.S;10/02/2023;14/04/2023;23;2;P;112402852;;COP; ;;;;;;
23000110;PV;24300;VIVA AIRLINES PERU S.A.C SUCURSAL COL;10/02/2023;14/04/2023;23;2;P;8232244;;COP;002;;;;;;
23000112;PV;34921;ULTRA AIR S.A.S;10/02/2023;14/04/2023;23;2;P;40039928;;COP; ;;;;;;
23000096;PV;8187;COMPAÑIA PANAMEÑA DE AVIACION S.A.COPA;13/02/2023;14/04/2023;23;2;H;144163410;144163410;COP; ;;;;;;
23000076;PV;8011;COMUNICACION CELULAR SA COMCEL SA;14/02/2023;17/02/2023;23;2;H;64580;64580;COP; ;;;;;;
23000077;PV;10229;ENEL COLOMBIA S.A  E.S.P;14/02/2023;15/02/2023;23;2;H;6038470;6038470;COP;002;;;;;;
23000078;PV;10229;ENEL COLOMBIA S.A  E.S.P;14/02/2023;15/02/2023;23;2;H;43675990;43675990;COP;002;;;;;;
23000088;PV;8006;AIR FRANCE;14/02/2023;14/04/2023;23;2;H;38772642;38772642;COP; ;;;;;;
23000114;PV;33922;CONCESIONARIA VUELA COMPAÑIA DE AVIACION;14/02/2023;21/04/2023;23;2;H;49777095;49777095;COP; ;;;;;;
23000087;PV;8262;AMERICAN AIRLINES INC SUCURSAL C;15/02/2023;22/04/2023;23;2;H;75206910;75206910;COP; ;;;;;;
23000101;PV;9666;AVIANCA S.A;15/02/2023;14/04/2023;23;2;P;859756638;;COP;002;;;;;;
23000102;PV;34155;VUELA AVIACIÓN S.A. SUCURSAL COLOMBIA;15/02/2023;21/04/2023;23;2;H;21468671;21468671;COP; ;;;;;;
23000105;PV;14953;TURKISH AIRLINES INC COLOMBIA;15/02/2023;14/04/2023;23;2;H;20977936;20977936;COP; ;;;;;;
23000081;PV;10054;FIDUCIARIA BANCOLOMBIA S A;16/02/2023;17/03/2023;23;2;H;6902000;6902000;COP;002;;;;;;
23000082;PV;8044;BANCOLOMBIA S.A.;16/02/2023;17/02/2023;23;2;H;1352280000;1352280000;COP; ;;;;;;
23000106;PV;8100;EMPRESA AEREA DE SERVICIOS Y FACILITACIO;16/02/2023;14/04/2023;23;2;P;16642626;;COP; ;;;;;;
23000116;PV;33845;AEROENLACES NACIONALES S.A. DE C.V. SUCU;16/02/2023;14/04/2023;23;2;P;195153653;;COP; ;;;;;;
23000083;PV;8044;BANCOLOMBIA S.A.;20/02/2023;21/02/2023;23;2;H;3899192000;3899192000;COP; ;;;;;;
23000084;PV;20040;CELSIA COLOMBIA SA ESP;20/02/2023;23/02/2023;23;2;H;1376678457;1376678457;COP; ;;;;;;
23000098;PV;8424;AVIANCA COSTA RICA S A SUCURSAL COLOMBIA;20/02/2023;21/04/2023;23;2;H;351288;11265;COP; ;;;;;;
23000100;PV;8413;AVIANCA ECUADOR S.A SUCURSAL COLOMBIA;20/02/2023;21/04/2023;23;2;P;57596931;;COP; ;;;;;;
23000107;PV;8422;TACA INTERNATIONAL AIRLINES S A SUCURSAL;20/02/2023;21/04/2023;23;2;P;17316825;;COP; ;;;;;;
23000121;PV;8374;TAM LINHAS AEREAS S.A. SUCURSAL COLOMBIA;20/02/2023;21/04/2023;23;2;H;11627992;11627992;COP; ;;;;;;
23000085;PV;16054;EL VIAJERO INTERNACIONAL SAS;21/02/2023;24/02/2023;23;2;P;91184294;;COP; ;;;;;;
23000086;PV;8292;ASSIST CARD DE COLOMBIA S.A.S;21/02/2023;24/02/2023;23;2;P;67658760;;COP; ;;;;;;
23000109;PV;8319;AEROVIAS DE MEXICO S.A. DE C.V AEROMEXIC;21/02/2023;21/04/2023;23;2;H;61181063;61181063;COP; ;;;;;;
23000113;PV;8272;AEROVIAS DE INTEGRACION REGIONAL AIRES;21/02/2023;21/04/2023;23;2;H;108283436;108283436;COP; ;;;;;;
23000117;PV;8483;LATAM AIRLINES GROUP S.A. SUCURSAL COLOM;21/02/2023;21/04/2023;23;2;H;42489345;42489345;COP; ;;;;;;
23000118;PV;8341;LAN PERU S.A. SUCURSAL COLOMBIA;21/02/2023;21/04/2023;23;2;H;41231096;41231096;COP; ;;;;;;
23000119;PV;8374;TAM LINHAS AEREAS S.A. SUCURSAL COLOMBIA;21/02/2023;21/04/2023;23;2;H;16186090;16186090;COP; ;;;;;;
23000091;PV;9582;ETB SA ESP;22/02/2023;24/02/2023;23;2;H;4925030;4925030;COP;002;;;;;;
23000092;PV;10229;ENEL COLOMBIA S.A  E.S.P;22/02/2023;27/02/2023;23;2;H;278080;278080;COP;002;;;;;;
23000122;PV;8268;AEROREPUBLICA S.A WINGO;22/02/2023;21/04/2023;23;2;P;210105041;;COP; ;;;;;;
23000123;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;27/02/2023;10/03/2023;23;2;H;2430838;2430838;COP; ;;;;;;
23000124;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;27/02/2023;10/03/2023;23;2;H;150721743;150721743;COP; ;;;;;;
23000126;PV;9882;ODINSA S.A;27/02/2023;17/02/2023;23;2;H;371583333;322933333;COP;002;;;;;;
23000127;PV;9555;COMPAÑIA MUNDIAL DE SEGUROS S.A;27/02/2023;31/03/2023;23;2;H;58700589;58700589;COP;002;;;;;;
23000128;PV;9555;COMPAÑIA MUNDIAL DE SEGUROS S.A;27/02/2023;31/03/2023;23;2;H;4786917;4786917;COP;002;;;;;;
23000129;PV;9555;COMPAÑIA MUNDIAL DE SEGUROS S.A;27/02/2023;31/03/2023;23;2;H;4483947;4483947;COP;002;;;;;;
23000250;PV;10014;AIRPORTS COUNCIL INTERNATIONAL;28/02/2023;28/02/2023;23;2;P;2745699;;COP;002;;;;;;
23000251;PV;9502;SUMICORP LTDA;28/02/2023;30/03/2023;23;2;P;-10433;;COP;002;;;;;;
23000181;PV;8086;DELTA AIR LINES INC.;02/03/2023;05/05/2023;23;3;H;53890759;1290661;COP; ;;;;;;
23000130;PV;10188;ENERTOTAL S.A. E.S.P.;06/03/2023;08/03/2023;23;3;H;168433802;168433802;COP;002;;;;;;
23000131;PV;10188;ENERTOTAL S.A. E.S.P.;06/03/2023;08/03/2023;23;3;H;675531;675531;COP;002;;;;;;
23000171;PV;33845;AEROENLACES NACIONALES S.A. DE C.V. SUCU;06/03/2023;05/05/2023;23;3;H;43609678;43609678;COP; ;;;;;;
23000177;PV;14599;AIR EUROPA;06/03/2023;05/05/2023;23;3;H;42518119;42518119;COP; ;;;;;;
23000182;PV;8087;DEUTSCHE LUFTHANSA AKTIENGELLSCH;06/03/2023;05/05/2023;23;3;H;11682052;11682052;COP; ;;;;;;
23000132;PV;10110;JAHV MC GREGOR S.A.;07/03/2023;10/03/2023;23;3;P;-100000;;COP;002;;;;;;
23000160;PV;8187;COMPAÑIA PANAMEÑA DE AVIACION S.A.COPA;07/03/2023;05/05/2023;23;3;H;118842697;118842697;COP; ;;;;;;
23000162;PV;28149;JETSMART AIRLINES SPA SUCURSAL COLOMBIA;07/03/2023;05/05/2023;23;3;H;24633412;24633412;COP; ;;;;;;
23000173;PV;8268;AEROREPUBLICA S.A WINGO;07/03/2023;05/05/2023;23;3;P;148460347;;COP; ;;;;;;
23000133;PV;10110;JAHV MC GREGOR S.A.;08/03/2023;10/03/2023;23;3;H;99600;99600;COP;002;;;;;;
23000167;PV;14953;TURKISH AIRLINES INC COLOMBIA;09/03/2023;12/05/2023;23;3;H;17284079;17284079;COP; ;;;;;;
23000170;PV;31960;SKY AIRLINE S.A. SUCURSAL COLOMBIA;09/03/2023;12/05/2023;23;3;H;17249398;17249398;COP; ;;;;;;
23000178;PV;8006;AIR FRANCE;09/03/2023;12/05/2023;23;3;H;38724404;38724404;COP; ;;;;;;
23000186;PV;8240;JETBLUE AIRWAYS CORPORATION;09/03/2023;12/05/2023;23;3;H;7854971;7854971;COP; ;;;;;;
23000134;PV;8011;COMUNICACION CELULAR SA COMCEL SA;10/03/2023;17/03/2023;23;3;H;1840930;1840930;COP; ;;;;;;
23000135;PV;8011;COMUNICACION CELULAR SA COMCEL SA;10/03/2023;17/03/2023;23;3;H;64580;64580;COP; ;;;;;;
23000136;PV;9884;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;10/03/2023;13/03/2023;23;3;H;4016933;4016933;COP;002;;;;;;
23000137;PV;10229;ENEL COLOMBIA S.A  E.S.P;10/03/2023;14/03/2023;23;3;H;6547340;6547340;COP;002;;;;;;
23000138;PV;10229;ENEL COLOMBIA S.A  E.S.P;10/03/2023;14/03/2023;23;3;H;40168410;40168410;COP;002;;;;;;
23000139;PV;17347;MUNICIPIO DE FUNZA;10/03/2023;14/03/2023;23;3;H;33630000;33630000;COP; ;;;;;;
23000188;PV;8185;UNITED AIR LINES INC SUCURSAL COLOMBIA;10/03/2023;12/05/2023;23;3;H;56718015;56718015;COP; ;;;;;;
23000163;PV;8450;KLM CIA REAL HOLANDESA DE AVIACION;11/03/2023;12/05/2023;23;3;H;18716265;18716265;COP; ;;;;;;
23000140;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;13/03/2023;14/03/2023;23;3;H;1273868;1273868;COP; ;;;;;;
23000141;PV;10229;ENEL COLOMBIA S.A  E.S.P;13/03/2023;14/03/2023;23;3;H;2763080;2763080;COP;002;;;;;;
23000168;PV;24300;VIVA AIRLINES PERU S.A.C SUCURSAL COL;13/03/2023;12/05/2023;23;3;H;16020801;3800172;COP;002;;;;;;
23000184;PV;8463;FAST COLOMBIA S.A.S;13/03/2023;12/05/2023;23;3;H;94872686;30527612;COP; ;;;;;;
23000164;PV;36297;PLUS ULTRA LÍNEAS AÉREAS S.A. SUCURSAL C;14/03/2023;12/05/2023;23;3;H;12712572;12712572;COP; ;;;;;;
23000172;PV;8030;AEROLINEAS ARGENTINAS  S.A.;14/03/2023;12/05/2023;23;3;P;16021739;;COP; ;;;;;;
23000161;PV;33922;CONCESIONARIA VUELA COMPAÑIA DE AVIACION;15/03/2023;19/05/2023;23;3;H;42454940;42454940;COP; ;;;;;;
23000169;PV;34155;VUELA AVIACIÓN S.A. SUCURSAL COLOMBIA;15/03/2023;12/05/2023;23;3;H;5240520;5240520;COP; ;;;;;;
23000142;PV;10033;EAB ESP ASEO;16/03/2023;17/03/2023;23;3;H;29925440;29925440;COP; ;;;;;;
23000143;PV;10033;EAB ESP ASEO;16/03/2023;17/03/2023;23;3;H;157057430;157057430;COP; ;;;;;;
23000144;PV;8044;BANCOLOMBIA S.A.;16/03/2023;17/03/2023;23;3;H;1203657000;1203657000;COP; ;;;;;;
23000145;PV;10054;FIDUCIARIA BANCOLOMBIA S A;17/03/2023;14/04/2023;23;3;H;6902000;6902000;COP;002;;;;;;
23000146;PV;8063;LONGPORT COLOMBIA LTDA;17/03/2023;31/03/2023;23;3;P;-57768;;COP; ;;;;;;
23000156;PV;8262;AMERICAN AIRLINES INC SUCURSAL C;17/03/2023;19/05/2023;23;3;H;69118312;69118312;COP; ;;;;;;
23000159;PV;9666;AVIANCA S.A;17/03/2023;19/05/2023;23;3;P;826343133;;COP;002;;;;;;
23000185;PV;8018;IBERIA LINEAS AEREAS DE ESPAÑA SA;18/03/2023;19/05/2023;23;3;H;89830708;89830708;COP; ;;;;;;
23000158;PV;8413;AVIANCA ECUADOR S.A SUCURSAL COLOMBIA;20/03/2023;19/05/2023;23;3;P;51650120;;COP; ;;;;;;
23000166;PV;8422;TACA INTERNATIONAL AIRLINES S A SUCURSAL;20/03/2023;19/05/2023;23;3;P;13712853;;COP; ;;;;;;
23000147;PV;16248;FONDO NACIONAL AMBIENTAL-FONAM;21/03/2023;22/03/2023;23;3;H;4772000;4772000;COP; ;;;;;;
23000157;PV;37443;ARAJET-SUCURSAL COLOMBIA;21/03/2023;19/05/2023;23;3;H;5451833;5451833;COP; ;;;;;;
23000165;PV;8445;SATENA - SERVICIO AEREO A TERRITORIOS NA;21/03/2023;19/05/2023;23;3;H;55592583;55592583;COP; ;;;;;;
23000175;PV;8277;AIR CANADA SUCURSAL COLOMBIA;21/03/2023;19/05/2023;23;3;H;50961412;50961412;COP; ;;;;;;
23000183;PV;8100;EMPRESA AEREA DE SERVICIOS Y FACILITACIO;21/03/2023;19/05/2023;23;3;P;17529971;;COP; ;;;;;;
23000148;PV;18701;MERA EL DORADO S.A.S;22/03/2023;31/03/2023;23;3;P;-231072;;COP; ;;;;;;
23000149;PV;17768;JMC & ASOCIADOS S.A;22/03/2023;31/03/2023;23;3;P;275593;;COP; ;;;;;;
23000150;PV;18701;MERA EL DORADO S.A.S;22/03/2023;31/03/2023;23;3;P;231072;;COP; ;;;;;;
23000152;PV;9582;ETB SA ESP;23/03/2023;24/03/2023;23;3;H;5015160;5015160;COP;002;;;;;;
23000153;PV;9894;CAMARA DE COMERCIO DE BOGOTA;23/03/2023;24/03/2023;23;3;H;2451400;2451400;COP;002;;;;;;
23000154;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;23/03/2023;14/04/2023;23;3;H;1751550;1751550;COP; ;;;;;;
23000155;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;23/03/2023;14/04/2023;23;4;P;-150305944;;COP; ;;;;;;
23000189;PV;8341;LAN PERU S.A. SUCURSAL COLOMBIA;23/03/2023;26/05/2023;23;3;H;43739947;43739947;COP; ;;;;;;
23000190;PV;8483;LATAM AIRLINES GROUP S.A. SUCURSAL COLOM;23/03/2023;26/05/2023;23;3;H;58475986;58475986;COP; ;;;;;;
23000196;PV;21264;INTERASEO AEROPUERTO S.A S . ESP;23/03/2023;14/04/2023;23;3;H;150305944;150305944;COP; ;;;;;;
23000174;PV;10229;ENEL COLOMBIA S.A  E.S.P;24/03/2023;28/03/2023;23;3;H;280280;280280;COP;002;;;;;;
23000176;PV;20040;CELSIA COLOMBIA SA ESP;24/03/2023;28/03/2023;23;3;H;1263150171;1263150171;COP; ;;;;;;
23000179;PV;25558;ANDREA ATUESTA ORTIZ;24/03/2023;24/03/2023;23;3;H;37187500;4567500;COP; ;;;;;;
23000180;PV;15666;CARDENAS MEJIA JUAN PABLO;24/03/2023;24/03/2023;23;3;H;74375000;9135000;COP; ;;;;;;
23000187;PV;8063;LONGPORT COLOMBIA LTDA;24/03/2023;31/03/2023;23;3;P;57768;;COP; ;;;;;;
23000193;PV;27020;SUMMA - SERVICIOS CORPORATIVOS INTEGRALE;30/03/2023;31/03/2023;23;3;H;58847932;58847932;COP; ;;;;;;
23000236;PV;8185;UNITED AIR LINES INC SUCURSAL COLOMBIA;03/04/2023;02/06/2023;23;4;H;35525427;35525427;COP; ;;;;;;
23000194;PV;10188;ENERTOTAL S.A. E.S.P.;04/04/2023;11/04/2023;23;4;H;197423386;197423386;COP;002;;;;;;
23000195;PV;10188;ENERTOTAL S.A. E.S.P.;04/04/2023;11/04/2023;23;4;H;1005406;1005406;COP;002;;;;;;
23000226;PV;28149;JETSMART AIRLINES SPA SUCURSAL COLOMBIA;04/04/2023;02/06/2023;23;4;H;11782514;11782514;COP; ;;;;;;
23000227;PV;8450;KLM CIA REAL HOLANDESA DE AVIACION;04/04/2023;02/06/2023;23;4;H;20684471;20684471;COP; ;;;;;;
23000234;PV;14953;TURKISH AIRLINES INC COLOMBIA;04/04/2023;02/06/2023;23;4;H;20846877;20846877;COP; ;;;;;;
23000245;PV;14599;AIR EUROPA;04/04/2023;02/06/2023;23;4;H;48060906;48060906;COP; ;;;;;;
23000225;PV;8240;JETBLUE AIRWAYS CORPORATION;05/04/2023;02/06/2023;23;4;H;20446499;20446499;COP; ;;;;;;
23000235;PV;34921;ULTRA AIR S.A.S;05/04/2023;09/06/2023;23;4;H;71728618;8930514;COP; ;;;;;;
